ds,yhat,yhat_lower,yhat_upper
2023-01-12,-2807.6237504510345,-7401.336777857635,1616.5387439300528
2023-01-13,-3815.4979120955813,-8568.54409998666,971.8465852784029
2023-01-14,-6264.187671820469,-10674.414980884536,-1867.992887570751
2023-01-15,-4144.438817429605,-8769.370571628688,297.9143821040558
2023-01-16,-3814.5963087661657,-8534.673564394423,544.850988325918
2023-01-17,-3960.2903713567894,-8693.209242273104,566.8022073800338
2023-01-18,-4129.93056220898,-9248.61305204693,427.057934325421
2023-01-19,-3840.289476634385,-8384.766575695074,712.4962596877672
2023-01-20,-4540.572202017179,-9102.283800819692,-89.77325958995627
2023-01-21,-6681.216797785806,-11494.697631679684,-1734.1756199581303
2023-01-22,-4260.518332637947,-9015.619162012656,263.7338675197018
2023-01-23,-3643.5648749984066,-8144.651561351067,574.7300427550714
2023-01-24,-3521.767009920065,-7954.658311107765,1191.8270321418943
2023-01-25,-3448.234041460324,-8262.691878390897,1199.5643694963887
2023-01-26,-2943.2809597980267,-7153.734211220774,1523.0948718405275
2023-01-27,-3458.463295550355,-7905.036351090535,1218.0876116466914
2023-01-28,-5445.384761335553,-10104.001248588369,-985.873174547084
2023-01-29,-2902.36847932628,-7493.989148747371,1674.8141686519932
2023-01-30,-2193.4771902943576,-6550.750276574112,2304.824087703517
2023-01-31,-2008.1598719227295,-6759.222212091412,2667.1209956796492
2023-02-01,-1896.7727941094272,-6342.346061205091,2791.065242224433
2023-02-02,-1376.2531599737376,-5967.549868747379,3341.1367876705012
2023-02-03,-1894.3359357424324,-6659.177799734722,2195.825199543713
2023-02-04,-3898.5518869711696,-8861.908873854378,537.8880945238145
2023-02-05,-1383.0906082215852,-6401.875909821278,3507.1350513322336
2023-02-06,-708.007035708064,-5154.598859898178,4029.2383961218243
2023-02-07,-559.0422982701466,-5313.563750576046,3724.669477883338
2023-02-08,-483.3009097875247,-5203.2370644479015,3770.813585074314
2023-02-09,4.942832334134437,-4476.583052255844,4414.896546583175
2023-02-10,-540.0769842326963,-5351.968143532537,4138.735417876516
2023-02-11,-2564.6898336464437,-7054.107001909238,2218.6383581181813
2023-02-12,-62.692407794109386,-4764.397289157688,4144.568939626988
2023-02-13,605.4385224630187,-3867.5518156550297,5303.684122467383
2023-02-14,752.7529574170203,-3961.066133346497,5360.793915658246
2023-02-15,830.2107997203075,-3740.5206064764016,5318.404234803305
2023-02-16,1320.9658345512162,-3109.5049371887194,6155.471139972713
2023-02-17,776.1607236073942,-3779.3983005420355,5269.049331769624
2023-02-18,-1254.00618921169,-5558.282016044851,3388.6845613802393
2023-02-19,1232.9708778060267,-3235.542364610679,5816.445420723075
2023-02-20,1872.8585202078903,-3016.1772333049703,6304.210862242868
2023-02-21,1975.0618651546483,-2370.415350742339,6442.042085648824
2023-02-22,1987.1768566743103,-2581.5482271614596,6461.2186576130125
2023-02-23,2389.435401110739,-2090.233125546157,7067.3108596775955
2023-02-24,1730.6475453906878,-2602.5291051853483,6609.468829607256
2023-02-25,-440.6040188844836,-4860.9840763539705,4379.417987146308
2023-02-26,1877.3911824075421,-2757.273643060652,6849.427466055729
2023-02-27,2320.499856284985,-2189.912957111722,6798.2660256222125
2023-02-28,2199.166410916394,-2727.325663410166,6534.677898337891
2023-03-01,1962.9757295303498,-2766.668402031883,6222.933648211504
2023-03-02,2095.074751506274,-2462.758375697733,6747.939650818861
2023-03-03,1148.057417229198,-3461.567442228527,5691.9486427197135
2023-03-04,-1324.930179965365,-5813.681548212631,3223.9128290518324
2023-03-05,683.0465404796178,-3762.871295876741,5668.257857203648
2023-03-06,813.5945411340599,-3580.2476985332087,5383.880098347772
2023-03-07,383.24893805824286,-4197.536764950533,5156.517626931046
2023-03-08,-152.14569141880202,-4618.278415580296,4742.285982227976
2023-03-09,-303.2050065288895,-4666.620480334391,4151.064081963645
2023-03-10,-1511.3147049942509,-6201.967410233289,2862.3518500347745
2023-03-11,-4217.717062422022,-8835.389299227201,441.13544597482473
2023-03-12,-2410.456748357584,-7065.2589394889255,2241.403212833793
2023-03-13,-2443.663310164692,-7277.048243157401,1865.8476792509512
2023-03-14,-2997.440241169481,-7497.3546791019335,1462.6537330635304
2023-03-15,-3613.6018647478913,-8517.606564553564,1246.970924945324
2023-03-16,-3801.5303004309917,-8303.844958131182,547.889918894241
2023-03-17,-5002.53831581912,-9213.262773480756,-421.71407352336155
2023-03-18,-7658.9725008205305,-12341.78104670962,-3271.720497293252
2023-03-19,-5761.138286550638,-10575.451456692936,-1494.159561841307
2023-03-20,-5666.524406390707,-10312.813758691045,-1253.2088475765388
2023-03-21,-6059.598149884179,-10849.127784753007,-1487.8781737221425
2023-03-22,-6487.415266993498,-10691.759557154379,-1644.9402285076658
2023-03-23,-6465.320531700916,-11292.869580132394,-2171.581593216692
2023-03-24,-7441.129516469628,-11956.707428496096,-2738.8935002903145
2023-03-25,-9864.031621634529,-14428.480712665081,-5174.823012624845
2023-03-26,-7731.302174986071,-12417.442005916697,-3177.693584917512
2023-03-27,-7407.307978751522,-12009.492645733335,-2593.6974390676396
2023-03-28,-7583.084706181389,-12230.929705476929,-3195.2983788935476
2023-03-29,-7811.737101915946,-12481.096997730956,-3169.963635682484
2023-03-30,-7613.944906971177,-12472.615372473947,-2917.783209843033
2023-03-31,-8441.971561333688,-12776.720002811757,-3639.2255586661863
2023-04-01,-10748.421603992741,-15400.788056541214,-6207.73396133457
2023-04-02,-8532.839638948735,-13080.392298473598,-4105.006274201209
2023-04-03,-8160.639302973914,-13126.03864628081,-3853.7790921009905
2023-04-04,-8322.643558808513,-12971.163021544378,-3513.506646531173
2023-04-05,-8570.48894497344,-12825.983321550562,-3867.0393544858985
2023-04-06,-8422.17706775874,-13006.000278593096,-3710.6797562079096
2023-04-07,-9326.169412889729,-14029.205661004398,-4598.29367998028
2023-04-08,-11730.26909672405,-16181.519496497933,-7079.208489879478
2023-04-09,-9628.378858793036,-13950.23091313765,-4709.972540567929
2023-04-10,-9379.618996877825,-14236.709887676217,-4837.940473455482
2023-04-11,-9668.080802659111,-14438.860093851756,-5191.997764394185
2023-04-12,-10038.461504425371,-14484.474187138152,-5942.034169928181
2023-04-13,-10001.856719076137,-14489.925267763654,-5657.717180031737
2023-04-14,-11000.098772965677,-15314.838765888533,-6380.109628906879
2023-04-15,-13474.876600072843,-17849.259983270553,-8902.0647957342
